five_tuple,timestamp,size,src_ip,dst_ip,src_port,dst_port,proto,two_tuple,pkt_count,flow_size,interval
244.3.160.239:80-41.177.40.117:14734-TCP,1261069332.750315,48,244.3.160.239,41.177.40.117,80,14734,TCP,244.3.160.239-41.177.40.117,1883,2504896,18.632790088653564
244.3.160.239:80-41.177.40.117:15235-TCP,1261069351.383105,48,244.3.160.239,41.177.40.117,80,15235,TCP,244.3.160.239-41.177.40.117,7,481,188.91115307807922
244.3.160.239:80-41.177.40.117:3208-TCP,1261069540.294258,48,244.3.160.239,41.177.40.117,80,3208,TCP,244.3.160.239-41.177.40.117,7,672,88.4978289604187
244.3.160.239:80-41.177.40.117:2818-TCP,1261069628.792087,48,244.3.160.239,41.177.40.117,80,2818,TCP,244.3.160.239-41.177.40.117,3,503,0.5449888706207275
244.3.160.239:80-41.177.40.117:9068-TCP,1261069629.337076,48,244.3.160.239,41.177.40.117,80,9068,TCP,244.3.160.239-41.177.40.117,8,4439,0.8285939693450928
244.3.160.239:80-41.177.40.117:8986-TCP,1261069630.16567,48,244.3.160.239,41.177.40.117,80,8986,TCP,244.3.160.239-41.177.40.117,1024,1361752,18.563789129257202
244.3.160.239:80-41.177.40.117:15358-TCP,1261069648.729459,48,244.3.160.239,41.177.40.117,80,15358,TCP,244.3.160.239-41.177.40.117,7,481,88.54428100585938
244.3.160.239:80-41.177.40.117:9579-TCP,1261069737.27374,48,244.3.160.239,41.177.40.117,80,9579,TCP,244.3.160.239-41.177.40.117,7,672,53.407673835754395
244.3.160.239:80-41.177.40.117:11362-TCP,1261069790.681414,48,244.3.160.239,41.177.40.117,80,11362,TCP,244.3.160.239-41.177.40.117,3,503,0.5438241958618164
244.3.160.239:80-41.177.40.117:11140-TCP,1261069791.225238,48,244.3.160.239,41.177.40.117,80,11140,TCP,244.3.160.239-41.177.40.117,8,4436,0.8264420032501221
244.3.160.239:80-41.177.40.117:14420-TCP,1261069792.05168,48,244.3.160.239,41.177.40.117,80,14420,TCP,244.3.160.239-41.177.40.117,2359,3138585,18.643141984939575
244.3.160.239:80-41.177.40.117:7392-TCP,1261069810.694822,48,244.3.160.239,41.177.40.117,80,7392,TCP,244.3.160.239-41.177.40.117,7,481,239.7595820426941
244.3.160.239:80-41.177.40.117:12935-TCP,1261070050.454404,48,244.3.160.239,41.177.40.117,80,12935,TCP,244.3.160.239-41.177.40.117,7,672,114.36089992523193
244.3.160.239:80-41.177.40.117:12945-TCP,1261070164.815304,48,244.3.160.239,41.177.40.117,80,12945,TCP,244.3.160.239-41.177.40.117,3,503,0.5185439586639404
244.3.160.239:80-41.177.40.117:10933-TCP,1261070165.333848,48,244.3.160.239,41.177.40.117,80,10933,TCP,244.3.160.239-41.177.40.117,8,4394,0.8766529560089111
244.3.160.239:80-41.177.40.117:13891-TCP,1261070166.210501,48,244.3.160.239,41.177.40.117,80,13891,TCP,244.3.160.239-41.177.40.117,1685,2240826,18.68444800376892
244.3.160.239:80-41.177.40.117:4480-TCP,1261070184.894949,48,244.3.160.239,41.177.40.117,80,4480,TCP,244.3.160.239-41.177.40.117,7,481,162.46447110176086
244.3.160.239:80-41.177.40.117:7609-TCP,1261070347.35942,48,244.3.160.239,41.177.40.117,80,7609,TCP,244.3.160.239-41.177.40.117,7,672,83.6712110042572
244.3.160.239:80-41.177.40.117:5677-TCP,1261070431.030631,48,244.3.160.239,41.177.40.117,80,5677,TCP,244.3.160.239-41.177.40.117,3,503,0.7882399559020996
244.3.160.239:80-41.177.40.117:3348-TCP,1261070431.818871,48,244.3.160.239,41.177.40.117,80,3348,TCP,244.3.160.239-41.177.40.117,8,4397,0.8644750118255615
244.3.160.239:80-41.177.40.117:3251-TCP,1261070432.683346,48,244.3.160.239,41.177.40.117,80,3251,TCP,244.3.160.239-41.177.40.117,1494,1987407,18.41566300392151
244.3.160.239:80-41.177.40.117:10766-TCP,1261070451.099009,48,244.3.160.239,41.177.40.117,80,10766,TCP,244.3.160.239-41.177.40.117,7,481,146.06620597839355
244.3.160.239:80-41.177.40.117:2751-TCP,1261070597.165215,48,244.3.160.239,41.177.40.117,80,2751,TCP,244.3.160.239-41.177.40.117,7,672,73.28934693336487
244.3.160.239:80-41.177.40.117:11089-TCP,1261070670.454562,48,244.3.160.239,41.177.40.117,80,11089,TCP,244.3.160.239-41.177.40.117,3,503,0.5198380947113037
244.3.160.239:80-41.177.40.117:11931-TCP,1261070670.9744,48,244.3.160.239,41.177.40.117,80,11931,TCP,244.3.160.239-41.177.40.117,8,4400,1.2571029663085938
244.3.160.239:80-41.177.40.117:5920-TCP,1261070672.231503,48,244.3.160.239,41.177.40.117,80,5920,TCP,244.3.160.239-41.177.40.117,1804,2399255,17.99581003189087
244.3.160.239:80-41.177.40.117:11161-TCP,1261070690.227313,48,244.3.160.239,41.177.40.117,80,11161,TCP,244.3.160.239-41.177.40.117,7,481,181.30646991729736
244.3.160.239:80-41.177.40.117:11358-TCP,1261070871.533783,48,244.3.160.239,41.177.40.117,80,11358,TCP,244.3.160.239-41.177.40.117,7,672,84.94491505622864
244.3.160.239:80-41.177.40.117:13061-TCP,1261070956.478698,48,244.3.160.239,41.177.40.117,80,13061,TCP,244.3.160.239-41.177.40.117,3,503,0.5155858993530273
244.3.160.239:80-41.177.40.117:11431-TCP,1261070956.994284,48,244.3.160.239,41.177.40.117,80,11431,TCP,244.3.160.239-41.177.40.117,8,4435,0.8174490928649902
244.3.160.239:80-41.177.40.117:4698-TCP,1261070957.811733,48,244.3.160.239,41.177.40.117,80,4698,TCP,244.3.160.239-41.177.40.117,1136,1513857,18.795679092407227
244.3.160.239:80-41.177.40.117:11262-TCP,1261070976.607412,48,244.3.160.239,41.177.40.117,80,11262,TCP,244.3.160.239-41.177.40.117,7,481,0.0
