size,cdf
12700000,0.9999402394009598
12800000,0.9999402394009598
12900000,0.9999402394009598
13000000,0.9999402394009598
13100000,0.9999402394009598
13200000,0.9999402394009598
13300000,0.9999402394009598
13400000,0.9999402394009598
13500000,0.9999402394009598
13600000,0.9999422314209278
13700000,0.9999422314209278
13800000,0.9999422314209278
13900000,0.9999422314209278
14000000,0.9999422314209278
14100000,0.9999422314209278
14200000,0.9999422314209278
14300000,0.9999422314209278
14400000,0.9999422314209278
14500000,0.9999482074808318
14600000,0.9999482074808318
14700000,0.9999482074808318
14800000,0.9999482074808318
14900000,0.9999482074808318
15000000,0.9999482074808318
15100000,0.9999482074808318
15200000,0.9999482074808318
15300000,0.9999482074808318
15400000,0.9999482074808318
15500000,0.9999482074808318
15600000,0.9999482074808318
15700000,0.9999501995007998
15800000,0.9999501995007998
15900000,0.9999501995007998
16000000,0.9999501995007998
16100000,0.9999501995007998
16200000,0.9999501995007998
16300000,0.9999501995007998
16400000,0.9999501995007998
16500000,0.9999501995007998
16600000,0.9999521915207678
16700000,0.9999521915207678
16800000,0.9999521915207678
16900000,0.9999541835407358
17000000,0.9999541835407358
17100000,0.9999541835407358
17200000,0.9999541835407358
17300000,0.9999541835407358
17400000,0.9999541835407358
17500000,0.9999581675806718
17600000,0.9999581675806718
17700000,0.9999581675806718
17800000,0.9999581675806718
17900000,0.9999581675806718
18000000,0.9999581675806718
18100000,0.9999661356605438
18200000,0.9999661356605438
18300000,0.9999741037404158
18400000,0.9999760957603839
18500000,0.9999760957603839
18600000,0.9999780877803519
18700000,0.9999780877803519
18800000,0.9999780877803519
18900000,0.9999780877803519
19000000,0.9999780877803519
19100000,0.9999780877803519
19200000,0.9999780877803519
19300000,0.9999780877803519
19400000,0.9999780877803519
19500000,0.9999780877803519
19600000,0.9999800798003199
19700000,0.9999800798003199
19800000,0.9999800798003199
19900000,0.9999800798003199
20000000,0.9999800798003199
21000000,0.9999800798003199
22000000,0.999982071820288
23000000,0.999982071820288
24000000,0.999982071820288
25000000,0.999982071820288
26000000,0.999982071820288
27000000,0.999982071820288
28000000,0.999984063840256
29000000,0.999984063840256
30000000,0.999984063840256
31000000,0.999984063840256
32000000,0.9999860558602239
33000000,0.9999880478801919
34000000,0.9999880478801919
35000000,0.9999880478801919
36000000,0.9999880478801919
37000000,0.9999880478801919
38000000,0.9999880478801919
39000000,0.9999880478801919
40000000,0.9999880478801919
41000000,0.9999880478801919
42000000,0.9999880478801919
43000000,0.99999003990016
44000000,0.99999003990016
45000000,0.99999003990016
46000000,0.99999003990016
47000000,0.99999003990016
48000000,0.99999003990016
49000000,0.99999003990016
50000000,0.99999003990016
51000000,0.999992031920128
52000000,0.999994023940096
53000000,0.999994023940096
54000000,0.999994023940096
55000000,0.999994023940096
56000000,0.9999960159600639
57000000,0.9999960159600639
58000000,0.9999960159600639
59000000,0.9999960159600639
60000000,0.9999960159600639
61000000,0.9999960159600639
62000000,0.9999960159600639
63000000,0.9999960159600639
64000000,0.9999960159600639
65000000,0.9999960159600639
66000000,0.9999960159600639
67000000,0.9999960159600639
68000000,0.9999960159600639
69000000,0.9999960159600639
70000000,0.9999960159600639
71000000,0.9999960159600639
72000000,0.9999960159600639
73000000,0.9999960159600639
74000000,0.9999960159600639
75000000,0.9999960159600639
76000000,0.9999960159600639
77000000,0.9999960159600639
78000000,0.9999960159600639
79000000,0.9999960159600639
80000000,0.9999960159600639
81000000,0.9999960159600639
82000000,0.9999960159600639
83000000,0.9999960159600639
84000000,0.9999960159600639
85000000,0.9999960159600639
86000000,0.999998007980032
87000000,0.999998007980032
88000000,0.999998007980032
89000000,0.999998007980032
90000000,0.999998007980032
91000000,0.999998007980032
92000000,0.999998007980032
93000000,0.999998007980032
94000000,0.999998007980032
95000000,0.999998007980032
96000000,0.999998007980032
97000000,0.999998007980032
98000000,0.999998007980032
99000000,0.999998007980032
100000000,0.999998007980032
101000000,0.999998007980032
102000000,0.999998007980032
103000000,0.999998007980032
104000000,0.999998007980032
105000000,0.999998007980032
106000000,0.999998007980032
107000000,0.999998007980032
108000000,0.999998007980032
109000000,0.999998007980032
110000000,0.999998007980032
111000000,0.999998007980032
112000000,0.999998007980032
113000000,0.999998007980032
114000000,0.999998007980032
115000000,0.999998007980032
116000000,0.999998007980032
117000000,0.999998007980032
118000000,0.999998007980032
119000000,0.999998007980032
120000000,0.999998007980032
121000000,0.999998007980032
122000000,0.999998007980032
123000000,0.999998007980032
124000000,0.999998007980032
125000000,0.999998007980032
126000000,0.999998007980032
127000000,0.999998007980032
128000000,0.999998007980032
129000000,0.999998007980032
130000000,0.999998007980032
131000000,0.999998007980032
132000000,0.999998007980032
133000000,0.999998007980032
134000000,0.999998007980032
135000000,0.999998007980032
136000000,0.999998007980032
137000000,0.999998007980032
138000000,0.999998007980032
139000000,0.999998007980032
140000000,0.999998007980032
141000000,0.999998007980032
142000000,0.999998007980032
143000000,0.999998007980032
144000000,0.999998007980032
145000000,0.999998007980032
146000000,0.999998007980032
147000000,0.999998007980032
148000000,0.999998007980032
149000000,1.0
150000000,1.0
151000000,1.0
152000000,1.0
153000000,1.0
154000000,1.0
155000000,1.0
156000000,1.0
157000000,1.0
158000000,1.0
159000000,1.0
160000000,1.0
